Principal_Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,0.2662305011260292,0.2662305011260292
PC2,0.06596734500540717,0.3321978461314364
PC3,0.03981267754871127,0.37201052368014764
PC4,0.03234762753490033,0.404358151215048
PC5,0.02547741118244767,0.42983556239749565
PC6,0.02246903726035912,0.45230459965785474
PC7,0.021796999524178923,0.47410159918203365
PC8,0.020114587696297,0.49421618687833063
PC9,0.01920739875134819,0.5134235856296788
PC10,0.01883740011131305,0.5322609857409919
PC11,0.0179481996099149,0.5502091853509068
PC12,0.016923525384617333,0.5671327107355242
PC13,0.016513313636382684,0.5836460243719068
PC14,0.015638050877035372,0.5992840752489422
PC15,0.015126129134570197,0.6144102043835125
PC16,0.014872397695233902,0.6292826020787463
PC17,0.014288291154507223,0.6435708932332536
PC18,0.013873108760926263,0.6574440019941798
PC19,0.013696461076051894,0.6711404630702318
PC20,0.013277964010812968,0.6844184270810447
PC21,0.012484489282317879,0.6969029163633627
PC22,0.012022409080270956,0.7089253254436336
PC23,0.01116416051732837,0.720089485960962
PC24,0.011021572928935769,0.7311110588898978
PC25,0.01075367129090309,0.7418647301808009
PC26,0.01026949790481768,0.7521342280856186
PC27,0.010092521775610598,0.7622267498612292
PC28,0.009799272552920799,0.77202602241415
PC29,0.009457847609914333,0.7814838700240643
PC30,0.009413778650917222,0.7908976486749815
PC31,0.008914065787051685,0.7998117144620331
PC32,0.008747946119472322,0.8085596605815054
PC33,0.008612379540225685,0.8171720401217311
PC34,0.008140299243768518,0.8253123393654995
PC35,0.007748651031276294,0.8330609903967758
PC36,0.007653533657496114,0.8407145240542719
PC37,0.006968612436924596,0.8476831364911965
PC38,0.006675544339066525,0.854358680830263
PC39,0.006492014868993468,0.8608506956992564
PC40,0.006445728080979826,0.8672964237802363
PC41,0.00605242474587782,0.8733488485261142
PC42,0.005898124099229122,0.8792469726253432
PC43,0.005638630451325467,0.8848856030766687
PC44,0.00560929458728343,0.8904948976639522
PC45,0.0054696806350589345,0.8959645782990111
PC46,0.005347363486021298,0.9013119417850324
PC47,0.005109042985313633,0.906420984770346
PC48,0.004911222434337235,0.9113322072046833
PC49,0.0047417482549373955,0.9160739554596208
PC50,0.004368722429326704,0.9204426778889475
PC51,0.004227798822611989,0.9246704767115596
PC52,0.004061764766869987,0.9287322414784296
PC53,0.003937168433032445,0.9326694099114621
PC54,0.003786290980046025,0.9364557008915081
PC55,0.0035911634423504185,0.9400468643338585
PC56,0.003392743527882934,0.9434396078617414
PC57,0.00335764348679996,0.9467972513485414
PC58,0.0032230422161833912,0.9500202935647248
PC59,0.003093366598027126,0.953113660162752
PC60,0.0029536218296100313,0.956067281992362
PC61,0.002841325052238472,0.9589086070446005
PC62,0.002749760296761743,0.9616583673413622
PC63,0.0026476369111285286,0.9643060042524908
PC64,0.002579468983854102,0.9668854732363449
PC65,0.0024363225153868676,0.9693217957517317
PC66,0.002345705065366051,0.9716675008170977
PC67,0.00221925666940572,0.9738867574865034
PC68,0.0021492477683445416,0.976036005254848
PC69,0.002075207425858309,0.9781112126807063
PC70,0.001759137099042904,0.9798703497797492
PC71,0.0017123760803951177,0.9815827258601443
PC72,0.0016025772448542159,0.9831853031049985
PC73,0.0015447515976645958,0.9847300547026632
PC74,0.0014380151982122092,0.9861680699008754
PC75,0.001378730663206296,0.9875468005640816
PC76,0.001290320140022577,0.9888371207041042
PC77,0.0012451447757314868,0.9900822654798357
PC78,0.0011680305345033563,0.991250296014339
PC79,0.0011140114406174226,0.9923643074549564
PC80,0.001046963263998557,0.993411270718955
PC81,0.0009372123905767653,0.9943484831095317
PC82,0.0008996506180683122,0.9952481337276
PC83,0.0008343016632880483,0.996082435390888
PC84,0.000704114634467557,0.9967865500253555
PC85,0.0006440866050473181,0.9974306366304029
PC86,0.0005630971808194651,0.9979937338112224
PC87,0.00048442086942117974,0.9984781546806435
PC88,0.0004508251822215178,0.998928979862865
PC89,0.00041417451780140316,0.9993431543806665
PC90,0.00030590338639986377,0.9996490577670664
PC91,0.0002210037986358113,0.9998700615657021
PC92,0.00012993843429817377,1.0000000000000002
